Model,Total Epochs,Epochs to 90% Acc,Epoch of Best Acc,Best Val Acc (%),Avg Val Acc (Last 5),Avg Val Loss (Last 5)
ViT-B_16_224,50,1,46,98.31,98.27,0.104
ViT-L_16_224,30,1,30,98.31,98.2,0.1102
ResNet50,200,117,194,95.64,95.51,0.1788
PreActResNet50,150,87,147,95.27,95.24,0.2168
PreActResNet18,150,78,149,95.24,95.2,0.1855
PreActResNet50Small,150,110,145,93.91,93.81,0.2586
VGG16,200,101,159,91.62,91.47,0.4373
VGG19,200,113,146,91.05,90.88,0.4933
SimpleCNN,50,—,46,86.01,85.56,0.4379
BoVW + LinearSVC,—,—,—,57.89,—,—
